Company Name,Ticker,P/E (Trailing 12 Months),Price/Book,Last Close,Shares Outstanding ,Market Cap ,Sector,Industry,Exchange,Last Qtr EPS,Annual Sales,Net Income ,Cash Ratio,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Dividend ,5 Yr Hist. Div. Growth %,12 Mo Trailing EPS,S&P 500 - ETF
"Deere & Company","DE","22.65","5.8","166.24","323.26","53738.24","Industrial Products","Manufacturing - Farm Equipment","NYSE","1.31","29737.7","2159.10009","1.72077","28.66","25891.30078","22692.90039","48114.30078","2.4","4.8074","7.34","YES"
"Discover Financial Services","DFS","13.3","2.73","79.42","354.76","28174.8","Finance","Financial - Consumer Loans","NYSE","1.55","11545","2099","","29.12","25443","89195","96582","1.29999","15.203","5.97","YES"
"Dollar General Corporation","DG","21.13","4.62","97.2","271.56","26396.02","Retail-Wholesale","Retail - Discount Stores","NYSE",".98","21986.6","1251.13","","21.02","2710.57006","2622.80004","3677.77001","1.03999","39.68899","4.6","YES"
"Quest Diagnostics","DGX","18.16","2.82","102.6","136.3","13984.28","Medical","Medical - Outpatient and Home Healthcare","NYSE","1.38","7709","772",".27152","36.35","3748","1057","1306","1.79999","10.541","5.65","YES"
"D.R. Horton, Inc.","DHI","15.07","2.08","44.47","375.92","16717.21","Construction","Building Products - Home Builders","NYSE",".77","14091","1038.40002","1.02491","21.43","2871.60009","1565.40002","10841.5",".4","30.426","2.95","YES"
"Danaher Corporation","DHR","24.65","2.63","99.33","697.57","69289.52","Conglomerates","Diversified Operations","NYSE","1.19","18329.7","2492.10009",".31037","37.8","10327.40039","4792.2998","6850",".56","43.618","4.03","YES"
"Walt Disney Company (The)","DIS","17.76","3.43","107.25","1503.68","161269.25","Consumer Discretionary","Media Conglomerates","NYSE","1.89","55137","8980",".30022","31.31","19119","19595","15889","1.55999","20.57299","6.04","YES"
"Discovery Communications, Inc.","DISCA","11.54","1.59","24.01","379.05","9101.09","Consumer Discretionary","Broadcast Radio and Television","NSDQ",".43","6497","1194","","15.15","7841","1561","2599","0","","2","YES"
"Discovery Communications, Inc.","DISCK","10.93","1.5","22.74","379.05","8619.69","Consumer Discretionary","Broadcast Radio and Television","NSDQ",".43","6497","1194","","15.15","7841","1561","2599","0","","2","YES"
"DISH Network Corporation","DISH","17.17","2.99","44.48","466.36","20743.56","Consumer Discretionary","Cable Television","NSDQ",".57","14391.38","1449.84997","","14.88","15541.32031","4527.97998","8283.0498","0","","2.59","YES"
"Digital Realty Trust, Inc.","DLR","16.75","2.14","102.2","205.47","20999.03","Finance","REIT and Equity Trust - Other","NYSE",".34","2457.93","248.25999","","47.69","8648.61035","1179.96997","289.51998","3.72","4.0275","6.1","YES"
"Dollar Tree, Inc.","DLTR","24.4","4.13","106.61","237.1","25276.8","Retail-Wholesale","Retail - Discount Stores","NSDQ","1.01","20719.2","896.20001","","25.8","6169.70019","2105.8999","3938","0","","4.37","YES"
"Dover Corporation","DOV","25.49","3.62","102.73","154.42","15863.98","Industrial Products","Manufacturing - General Industrial ","NYSE","1.13","7830.44","811.65997",".41029","28.38","2986.69995","2298.18994","3207.12011","1.82","5.9018","4.03","YES"
"Dr Pepper Snapple Group, Inc","DPS","25.47","8.46","115.37","179.74","20737.07","Consumer Staples","Beverages - Soft drinks","NYSE","1.17","6690","1076",".14378","13.64","4400","1238","1117","2.31999","11.19299","4.53","YES"
"Duke Realty Corporation","DRE","20.54","1.99","25.47","356.99","9092.54","Finance","REIT and Equity Trust - Other","NYSE",".17","780.93","1634.43005","","12.81","2422.88989","139.83","620.13",".76999","3.2667","1.24","YES"
"Darden Restaurants, Inc.","DRI","22.59","5.97","95.35","123.53","11778.97","Retail-Wholesale","Retail - Restaurants","NYSE",".73","7170.2","479.1",".42274","15.98","936.59997","1289.19995","799.79998","2.24","2.4479","4.22","YES"
"DTE Energy Company","DTE","20.33","1.88","104.7","179.39","18782.13","Utilities","Utility - Electric Power","NYSE","1.48","12607","868","","55.69","11269","2437","2762","3.3575","6.8362","5.15","YES"
"Duke Energy Corporation","DUK","16.86","1.3","77.22","700.09","54061.18","Utilities","Utility - Electric Power","NYSE",".94","23565","2152","","59.62","45576","11551","8039","3.49","3.1921","4.58","YES"
"DaVita HealthCare Partners Inc.","DVA","21.27","2.73","73.18","182.46","13352.57","Medical","Medical - Outpatient and Home Healthcare","NYSE",".92","10876.63","663.60998","2.11282","26.78","9158.00976","3041.16992","8744.3496","0","","3.44","YES"
"Devon Energy Corporation","DVN","19.77","1.17","31.43","526.1","16535.32","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE",".38","13949","-3302","","26.81","10154","2616","3772",".23999","-29.83601","1.59","YES"
"Dow Chemical Company (The)","DWDP","20.93","1.67","73.26","2329.02","170624.22","Basic Materials","Chemical - Diversified ","NYSE",".83","62484","1460",".61267","43.76","30056","26128","49893","1.75999","8.19919","3.5","YES"
"DXC Technology Company.","DXC","15.25","2.25","103.98","285.69","29705.84","Computer and Technology","Computers - IT Services","NYSE","2.15","7607","-123",".54372","46.21","2225","2950","3247",".69999","-8.2373","6.82","YES"
"Electronic Arts Inc.","EA","36.31","9.54","127.1","306.73","38985.13","Consumer Discretionary","Toys - Games - Hobbies","NSDQ","2.22","4845","967","2.00414","13.32","990","2415","5199","0","","4.08","YES"
"eBay Inc.","EBAY","26.47","5.48","43.68","1012.08","44207.66","Retail-Wholesale","Internet - Commerce","NSDQ",".59","9567","-1016","1.99152","7.97","9234","3539","7743","0","","2.01","YES"
"Ecolab Inc.","ECL","27.9","4.92","130.84","288.91","37801.51","Basic Materials","Chemical - Specialty","NYSE","1.39","13838.3","1229.59997","","26.61","6145.70019","3019.3999","4279.3999","1.11","11.33399","4.69","YES"
"Consolidated Edison Inc","ED","18.84","1.56","77.63","310.4","24096.12","Utilities","Utility - Electric Power","NYSE",".8","12033","1525",".3827","49.69","14731","4902","3537","2.75999","2.8471","4.12","YES"
"Equifax, Inc.","EFX","19.27","4.39","115.4","120.08","13857.12","Business Services","Financial Transaction Services","NYSE","1.53","3144.9","488.79998","","26.3","2086.80004","1259.59997","672.90002","1.55999","14.673","5.99","YES"
"Edison International","EIX","13.88","1.39","62.17","325.81","20255.67","Utilities","Utility - Electric Power","NYSE","1.1","12320","1434","","44.84","10175","5912","2123","2.2325","13.6","4.48","YES"
"Estee Lauder Companies, Inc. (The)","EL","34.31","11.41","142.39","367.78","52367.63","Consumer Staples","Cosmetics","NYSE","1.52","11824","1249",".74034","12.48","3383","2823","4964","1.32","46.18799","4.15","YES"
"Eastman Chemical Company","EMN","13.57","2.92","103.44","143","14791.92","Basic Materials","Chemical - Diversified ","NYSE","1.62","9549","1474","","35.48","6311","1795","2866","2.08999","13.93099","7.62","YES"
"Emerson Electric Company","EMR","27.04","5.46","72.19","634.84","45828.96","Industrial Products","Manufacturing - Electronics","NYSE",".58","15264","1518",".69058","13.21","3794","5045","8252","1.91999","3.8475","2.67","YES"
"EOG Resources, Inc.","EOG","265.44","4.51","108.83","578.22","62927.57","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE",".19","7650.63","-1096.68006","","24.11","6979.77001","2027.29003","3554.60009",".67","16.252",".41","YES"
"Equinix, Inc.","EQIX","21.32","4.51","394.84","78.23","30889.91","Finance","REIT and Equity Trust - Retail","NSDQ","2.03","4368.43","232.97999","","87.56","9937.20019","1247.32995","2249.12011","8","45.63","18.52","YES"
"Equity Residential","EQR","18.15","2.01","56.99","368.17","20982.01","Finance","REIT and Equity Trust - Residential","NYSE",".34","2471.41","603.45001","","28.35","8957.29003","172.8","50.63999","2.015","2.647","3.14","YES"
"EQT Corporation","EQT","37.74",".75","52.08","264.47","13773.75","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE",".76","3378.01","1508.52001",".3553","69.63","7323.5498","1232.22998","1163.05004",".11999","0","1.38","YES"
"Eversource Energy","ES","19.12","1.71","59.47","316.89","18845.21","Utilities","Utility - Electric Power","NYSE",".75","7751.95","942.29998","","34.71","8829.3496","3638.60009","2477.66992","1.89999","6.3399","3.11","YES"
"Express Scripts Holding Company","ESRX","11.26","2.74","77","566.37","43610.72","Medical","Medical Services","NSDQ","1.9","100287.5","3404.3999","","28.11","14846","16428.0996","12363.40039","0","","6.84","YES"
"Essex Property Trust, Inc.","ESS","19.1","2.35","227.27","66.04","15008.91","Finance","REIT and Equity Trust - Residential","NYSE","1.57","1363.9","433.04998","","96.86","5689.12011","138.22","162.05","7","9.788","11.9","YES"
"E*TRADE Financial Corporation","ETFC","23.46","2.19","51.38","266.33","13684.24","Finance","Financial - Investment Bank","NSDQ",".64","2366","614","","23.44","1901","53733","14706","0","","2.19","YES"
"Eaton Corporation, PLC","ETN","17.68","2.1","82.22","440.6","36226.13","Industrial Products","Manufacturing - Electronics","NYSE","1.29","20404","2985",".34659","39.24","7167","5052","8314","2.4","8.61839","4.65","YES"
"Entergy Corporation","ETR","10.78","1.61","77.74","180.25","14012.71","Utilities","Utility - Electric Power","NYSE",".76","10845.64","-564.5","","48.39","14492.24023","3200.09008","3684.26","3.5","1.37279","7.21","YES"
"Envision Healthcare Corporation","EVHC","11.48",".64","37.19","120.89","4495.86","Medical","Medical - Outpatient and Home Healthcare","NYSE",".73","4588.7","-18.60001","","58.38","5791.60009","1154.30004","2411.30004","0","","3.5","YES"
"Edwards Lifesciences Corporation","EW","35.69","9.64","135.64","210.02","28487.66","Medical","Medical - Instruments","NYSE",".94","3435.3","622.09997","1.0826","14.08","438.39999","1399.40002","2532.10009","0","","3.8","YES"
"Exelon Corporation","EXC","14.76","1.15","38.24","965.03","36902.71","Utilities","Utility - Electric Power","NYSE",".55","33531","3770",".43071","33.3","32565","10796","11834","1.30999","-1.7313","2.59","YES"
"Expeditors International of Washington, Inc.","EXPD","26.31","5.79","65.52","176.37","11556.02","Transportation","Transportation - Services","NSDQ",".71","6920.95","430.79998","","11.31","0","929.92999","2218.57006",".83999","9.4052","2.49","YES"
"Expedia, Inc.","EXPE","29.23","2.64","106.38","151.83","16151.89","Retail-Wholesale","Internet - Commerce","NSDQ",".84","10059.84","377.95999",".46365","40.36","3749.05004","7878.68994","5539.58007","1.15999","20.929","4.29","YES"
"Extra Space Storage Inc","EXR","19.82","4.01","86.6","126.01","10912.21","Finance","REIT and Equity Trust - Other","NYSE","1.63","1105.01","366.11999","","21.62","4306.22021","101.37999","74.34999","3.11999","23.04","4.37","YES"
"Ford Motor Company","F","6.05","1.22","10.7","3973.35","42514.86","Auto-Tires-Trucks","Automotive - Domestic","NYSE",".39","156776","7602","1.0045","8.79","102666","94600","115902",".6","10.031","1.77","YES"
"Fastenal Company","FAST","28.6","7.57","55.2","287.6","15875.74","Retail-Wholesale","Building Products - Retail","NSDQ",".45","4390.5","578.59997",".66951","7.29","412","351","1935.69995","1.27999","13.75","1.93","YES"
"Facebook, Inc.","FB","29.8","7.16","183.29","2905","532457.44","Computer and Technology","Internet - Services","NSDQ","2.2","40653","15934","11.36462","25.59","0","3760","48563","0","","6.34","YES"
"Fortune Brands Home & Security, Inc.","FBHS","20.62","3.71","63.52","151.8","9642.4","Industrial Products","Security and Safety Services","NYSE",".8","5283.3","472.6",".51345","17.14","1507.59997","906.79998","1601.69995",".72","15.277","3.08","YES"
"Freeport-McMoRan Inc.","FCX","16.71","2.51","19.55","1447.59","28300.38","Basic Materials","Mining - Non Ferrous","NYSE",".51","16403","1817","1.05498","7.8","11703","5038","10779","0","-60.364","1.17","YES"
"FedEx Corporation","FDX","20.52","3.96","252.22","267.89","67567.22","Transportation","Transportation - Air Freight and Cargo","NYSE","3.18","60319","2997",".57021","63.66","14909","7918","12628","1.6","33.664","12.29","YES"
"FirstEnergy Corporation","FE","11.05","4.1","33.8","475.59","16074.94","Utilities","Utility - Electric Power","NYSE",".71","14017","-6177","","8.25","18192","7126","2950","1.44","-7.8338","3.06","YES"
"F5 Networks, Inc.","FFIV","21.6","7.42","147.33","61.84","9111.48","Computer and Technology","Internet - Software","NSDQ","2.26","2090.04","420.76","1.21715","19.84","0","934.59997","1459.30004","0","","8.68","YES"
"Fidelity National Information Services, Inc.","FIS","22.58","3.02","99.82","331.18","33058.29","Business Services","Financial Transaction Services","NYSE","1.36","9123","1319","","33.05","7718","3923","3606","1.15999","6.2768","4.42","YES"
"Fiserv, Inc.","FISV","28.55","11.06","146.19","206.61","30204.02","Business Services","Financial Transaction Services","NSDQ","1.41","5696","1246","","13.22","4897","1938","1975","0","","5.12","YES"
"Fifth Third Bancorp","FITB","18.18","1.54","33.45","693.8","23207.78","Finance","Banks - Major Regional","NSDQ",".52","7713","2194",".03104","21.7","14904","108760","97395",".6","5.5696","1.84","YES"
"Foot Locker, Inc.","FL","11.43","2.42","48.25","121.21","5848.14","Retail-Wholesale","Retail - Apparel and Shoes","NYSE",".87","7766","664","","19.93","127","612","2633","1.24","11.63199","4.22","YES"
"FLIR Systems, Inc.","FLIR","25.79","3.66","48.49","138.57","6719.45","Aerospace","Electronics - Military","NSDQ",".58","1800.43","107.22","1.69232","13.24","420.67999","394.92999","1387.20996",".6","12.28499","1.88","YES"
"Fluor Corporation","FLR","21.86","2.33","58.15","139.91","8135.59","Construction","Engineering - R and D Services","NYSE",".7","19521","281.39999","","24.96","1517.93994","3816.02001","5610.27001",".83999","5.3736","2.66","YES"
"Flowserve Corporation","FLS","33.03","3.45","44.26","130.32","5768.05","Industrial Products","Manufacturing - General Industrial ","NYSE",".5","3660.83","2.65",".65794","12.82","1499.65002","1242.90002","2558.73999",".56999","7.8228","1.34","YES"
"FMC Corporation","FMC","31.63","4.25","85.72","134.26","11508.94","Basic Materials","Chemical - Diversified ","NYSE","1.1","2878.6","535.79998",".27912","20.16","2993","2209.3999","3652.69995",".66","4.89589","2.71","YES"
"Twenty-First Century Fox, Inc.","FOX","20.78","3.55","37.62","1852.53","69692.1","Consumer Discretionary","Film and Television Production and Distribution","NSDQ",".42","28500","2952",".92677","10.6","19456","7238","16286",".36","15.07999","1.81","YES"
