Company Name,Ticker,P/E (Trailing 12 Months),Price/Book,Last Close,Shares Outstanding ,Market Cap ,Sector,Industry,Exchange,Last Qtr EPS,Annual Sales,Net Income ,Cash Ratio,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Dividend ,5 Yr Hist. Div. Growth %,12 Mo Trailing EPS,S&P 500 - ETF
"Textron Inc.","TXT","24.2","2.75","59.28","261.77","15517.84","Aerospace","Aerospace - Defense","NYSE",".74","14198","307",".68743","21.57","3898","3660","8029",".07999","0","2.45","YES"
"Under Armour, Inc.","UA","85","","15.3","441.7","6757.96","Consumer Discretionary","Textile - Apparel","NYSE","0","4976.55","-48.26","","","790.38","685.80999","1965.15002","0","",".18","YES"
"Under Armour, Inc.","UAA","94.56","3.72","17.02","441.7","7517.68","Consumer Discretionary","Textile - Apparel","NYSE","0","4976.55","-48.26",".53703","4.57","765.03997","1060.36999","2337.66992","0","",".18","YES"
"United Continental Holdings, Inc.","UAL","9.98","2.23","67.57","284.7","19237.25","Transportation","Transportation - Airline","NYSE","1.4","37736","2131","","30.28","10740","12286","7309","0","","6.77","YES"
"United Dominion Realty Trust, Inc.","UDR","18.26","3.28","34.14","268.16","9154.98","Finance","REIT and Equity Trust - Residential","NYSE",".25","995.79","121.55","","10.4","3671.65991","154.72999","762.11999","1.225","7.28429","1.87","YES"
"Universal Health Services, Inc.","UHS","15.56","2.26","116.41","94.91","11048.36","Medical","Medical - Hospital","NYSE","1.64","9766.21","702.40002","","51.54","4030.22998","1317.36999","1681.36999",".4","19.138","7.48","YES"
"Ulta Beauty Inc.","ULTA","26.97","7.87","207.11","60.99","12632.05","Retail-Wholesale","Retail - Miscellaneous","NSDQ","1.7","4854.74","409.76","","26.31","0","529.34002","1536.22998","0","","7.68","YES"
"UnitedHealth Group Incorporated","UNH","22.83","4.47","230.16","967.66","222717.33","Medical","Medical - HMOs","NYSE","2.59","201159","10558",".42117","51.5","28835","50463","37084","2.875","29.21999","10.08","YES"
"Unum Group","UNM","12.06","1.2","51.73","221.26","11445.83","Finance","Insurance - Accident and Health","NYSE","1.13","11286.8","994.20001","","43.27","2738.3999","49374.80078","8467.5",".86","12.04199","4.29","YES"
"Union Pacific Corporation","UNP","23.27","4.23","134.97","779.3","105182.8","Transportation","Transportation - Rail","NYSE","1.53","21240","10712",".44782","31.9","16144","3939","4006","2.48","12.76299","5.8","YES"
"United Parcel Service, Inc.","UPS","17.54","88.07","105.61","859","90718.99","Transportation","Transportation - Air Freight and Cargo","NYSE","1.67","65872","4910","","1.2","20278","12708","15548","3.31999","7.3343","6.02","YES"
