Company Name,Ticker,Cash Ratio,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Annual Sales,ROA (5 Yr Avg),Operating Margin 12 Mo,Inventory Turnover,Asset Utilization,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Current ROA (TTM),ROI (5 Yr Avg),Price as a % of 52 Wk H-L Range,52 Week Low,Last Close,Shares Outstanding ,Industry,Sector,Exchange,Div. Yield %,P/E (F1),Market Cap ,52 Week High,Beta,Last Qtr EPS,Last Reported Qtr ,Current ROI (TTM),Current ROE (TTM),Price/Book,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),5 Yr. Hist. EPS Growth,12 Mo Trailing EPS,Last Reported Fiscal Yr ,S&P 500 - ETF
"Intercontinental Exchange Inc.","ICE",".97208",".43",".8","15.11699","1.07","76.79325","2287","2514","2517","2704","3239","5834","1.84459","30.88","",".07436",".98",".25","20.06599","29.36","16952","0","4267","54171","53562","22485","0","903","2.3","8.53199","80.69","58.07","72.4","579.23","Securities and Exchanges","Finance","NYSE","1.33","20.59","41936.11","75.83",".64",".9","20180301","8.83","11.14","2.48","1.97","23.35","34.06","-2.08","19.21","16.93","3.1","20171231","YES"
"IDEXX Laboratories, Inc.","IDXX",".57047",".13","0","","0","18.51018","377.31399","263.14001","381.04998","418.26998","501.44","1969.06","15.52","15.39","5.23299","1.2603",".96","-12.43","","-.56","-53.84001","0","606.07","1004.55999","971.97998","243.71","164.30999","234.58999","19.39","38.32899","74.26","147.68","195.59","86.86","Medical - Instruments","Medical","NSDQ","0","47.02","16989.58","212.2",".6","1.01","20180301","57.65","-530.24","","2.32","55.56","9.24","10.91","26.83","15.29","3.52","20171231","YES"
"Internationa Flavors & Fragrances, Inc.","IFF",".75893",".09","2.66","16.204","1.82","-27.00294","586.221","295.66","537.03997","602.40002","720.35998","3398.72","11.201","13.76","3.0685",".76036","2.75",".94","48.513","22.53","1689.29003","0","1632.18005","768.76","1896.54003","1572.06994","649.44","663.65997","10.46","15.814","3.4","123.95","125.07","78.94","Chemical - Specialty","Basic Materials","NYSE","2.21","20.03","9873.5","156.87","1.12","1.69","20180301","14.3","27.89","5.55","2.23","20.64","2.9","9.06","6.01","6.54","6.06","20171231","YES"
"Illumina, Inc.","ILMN","2.99731",".26","0","","0","56.80345","777","726","1043","1080","1266","2752","11.682","24.18","2.8506",".56726","2.71",".23","23.13699","20.91","2749","0","1182","746","2980","946","333","411","13.72","15.227","99.01","169","268.45","147","Medical - Biomedical and Genetics","Medical","NSDQ","0","55.41","39462.15","269.44",".86","1.45","20180301","17.45","24.93","12.84","2.77","55.69","17.54","14.74","21.11","20.48","4.82","20171231","YES"
"Incyte Corporation","INCY","3.28213","-.2","0","","0","-400.46058","183.503","-313.14002","-312.29001","-305.39002","-253.22001","1536.22","-4.4458","-.73","19.13299",".71183","3.86",".01","1.02199","7.68","1630.61999","0","16.6","375.39001","1504.84997","392.48999","6.48","266.29","-.52","-6.69641","7.47","60.85","66.64","211.97","Medical - Biomedical and Genetics","Medical","NSDQ","0","92.08","14125.63","138.41",".72","-.01","20180301","-.73","-.74","8.68","","555.33","42.72","38.93","13.09","",".12","20171231","YES"
"IHS Markit Ltd.","INFO",".15193",".12","0","","0","172.8403","1190.05895","416.89999","372.1","526.40002","1018.90002","3599.7","7.69689","19.91","",".25725",".79",".51","33.94499","20.43","8004.3999","0","3617.30004","1906.09997","1015","12966.7998","0","725.40002","5.12","11.052","90.71","42.45","51.33","391.33","Business - Information Services","Business Services","NSDQ","0","22.63","20086.72","52.24",".78",".53","20180201","6.35","9.33","2.51","1.94","23.99","48.84","31.63","9.57","","2.14","20171130","YES"
"Intel Corporation","INTC",".97066",".15","1.07749","5.7627","3.06","-6.93099","24882","9601","20352","20352","28481","62761","12.19099","27.66","3.5631",".51117","1.58",".35","26.09199","15","69019","0","25037","17421","29500","37134","6983","5607","14.14","15.781","99.21","33.46","54.81","4678.32","Semiconductor - General","Computer and Technology","NSDQ","2.19","14.34","256418.56","54.98",".94",".87","20180301","18.45","25.41","3.65","1.7","14.89","4.21","5.68","10.46","14.49","3.68","20171231","YES"
"Intuit Inc.","INTU",".64248",".19","1.36","20.04299","1.06","-.81717","1218.79504","971","1367","1398","1634","5177","17.183","18.05","","1.20759",".63","","26.30599","4.52","1354","0","438","1944","1415","1317","0","166","21.8","36.27999","93.46","125.15","189.78","256.11","Computer - Software","Computer and Technology","NSDQ",".82","35.05","48604.77","194.3","1.13",".35","20180101","54.98","72.52","42.01","2.1","41.62","4.17","10.29","22.78","6.97","4.56","20170731","YES"
"International Paper Company","IP",".52469",".1","1.86249","9.91919","3.34","137.16813","2879","2144","848","1420","2843","21743","4.44869","7.14","6.78989",".67884","1.63","1.48","59.693","17.54","6541","0","10846","5102","8277","3411","2313","3287","4.85","9.27509","32.89","50.15","55.06","414.09","Paper and Related Products","Basic Materials","NYSE","3.45","11.17","22799.88","65.08","1.52",".94","20180301","9.86","28.21","3.14","1.18","13.98","-6.82","3.15","41.26","3.63","3.94","20171231","YES"
"Interpublic Group of Companies, Inc. (The)","IPG",".14739",".07",".72","24.18099","2.47","-4.84799","804.59997","579","876","966.79998","1211.69995","7882.4","3.95339","6.62","",".68674",".95",".6","41.76699","5.55","2235.80004","0","1285.59997","7678.20019","7464.10009","3820.3999","0","6332.3999","4.54","12.38199","76.95","18.45","23.93","385.52","Advertising and Marketing","Business Services","NYSE","3.51","13.71","9225.49","25.57","1.3",".03","20180301","15.09","26.05","4.31","2.06","17.09","2.76",".46","23.76","15.76","1.4","20171231","YES"
"IPG Photonics Corporation","IPGP","6.07858",".25","0","","0","33.31159","510.17401","347.60998","551.86999","551.86999","616.42999","1408.89","16.95999","28.86","2.12019",".64884","9.54",".02","2.03029","39.96","2022.31994","0","45.36999","198.89999","1754.01","107.05","307.70999","237.27","18.73","19.19899","87.07","134.96","246.74","53.69","Lasers Systems and Components","Computer and Technology","NSDQ","0","29.1","13248.58","263.34","1.85","1.93","20180301","21.17","21.59","6.18","2.42","31.59","19.42","40.02","16.8","21.67","7.81","20171231","YES"
"Quintiles Transitional Holdings Inc.","IQV",".48553",".13","0","","0","1038.26086","2033.09997","1309","331","677","1740","9739","9.32709","10.73","",".44255","1.16","1.22","55.025","40.81","8358","0","10122","2904","3450","18441","0","2040","4.75","17.92499","59.26","82.22","97.83","207.14","Technology Services","Business Services","NYSE","0","18.16","20264.86","108.56",".64","1.34","20180301","6.03","13.35","2.41","1.54","19.49","15.54","41.6","15.37","21.32","5.02","20171231","YES"
"Ingersoll-Rand PLC (Ireland)","IR",".43212",".09","1.7","18.662","1.78","-11.75993","1516.09997","1302.59997","1417.90002","1633.69995","1987","14197.6","5.8017","8.17","6.12489",".80968","1.41",".52","34.407","28.8","7206.8999","0","2957","4828","6119.10009","9678.5996","1555.40002","2477.3999","6.62","10.37199","59.1","80.39","89.97","247.96","Manufacturing - General Industrial ","Industrial Products","NYSE","2","17.02","22309.43","96.6","1.35",".7","20180301","11.53","17.03","3.12","1.55","19.35",".7","5.1","17.21","8.33","4.65","20171231","YES"
"Iron Mountain Incorporated","IRM",".83791",".05","2.23749","18.839","5.22","75.3673","850.53198","183.82","216.1","569.66998","1110.01","3845.58","3.3385","7.85","",".36697","1.24","3.55","78.205","7.91","2298.84008","0","6896.97021","1330.17004","1950.31005","5470.81005","0","835.73999","2.88","4.0907","10.99","30.89","32.05","285.92","REIT and Equity Trust - Other","Finance","NYSE","7.33","15.42","9163.86","41.44",".81",".49","20180301","3.42","14.96","4.05","","15.12","5.87","9.52","-2.44","-.13","2.12","20171231","YES"
"Intuitive Surgical, Inc.","ISRG","2.92259",".21","0","","0","-10.31391","957.59997","660","1096.5","1096.5","1216.80004","3128.9","14.493","30.93","4.0602",".5723","5.82","0","0","48.6","4726.7998","0","0","704.09997","2810.8999","201.1","241.19999","511.89999","17.7","16.58799","93","283.66","457.92","113.29","Medical - Instruments","Medical","NSDQ","0","45.22","51880.09","471.03",".56","2.44","20180301","20.72","20.72","9.42","3.74","33.42","8.78","15.7","12.64","11.29","9.73","20171231","YES"
"Gartner, Inc.","IT",".50016","0","0","","0","-98.31078","552.86401","3.26999","-127.81",".12999","255.36","3311.49","9.69089","8.59","",".51762",".73","2.21","68.882","10.82","983.46002","0","2899.12011","2822.58007","2588.60009","4279.31005","0","1176.83996","4.44","35.27","71.1","111.31","133.23","91.24","Consulting Services","Business Services","NYSE","0","35.58","12155.9","142.14","1.13",".72","20180301","8.45","33.99","12.31","2.3","38.96","14.73","35.46","13.14","13.38","3.42","20171231","YES"
"Illinois Tool Works Inc.","ITW","1.12348",".12","2.85999","16.103","2.08","-17.10074","2748","1687","3270","3530","3992","14314","11.524","16.47","6.8182",".8952","2.2","1.65","62.333","12.29","4589","0","7478","3053","7278","6024","1220","2628","14.74","15.732","24.92","134.78","145.77","338.76","Manufacturing - General Industrial ","Industrial Products","NYSE","2.14","18.74","49381.43","178.88","1.25","1.9","20180301","20.14","51.79","11.86","1.85","20.91","-2.66","5.26","18.06","12.66","6.97","20171231","YES"
"Invesco Ltd.","IVZ","1.44528",".22","1.14999","6.15759","3.1","31.97143","1222.69995","1127.30004","1429.19995","1524","1640.80004","5160.3","4.5194","21.21","",".17466","1.54",".72","42.742","22.57","8955.5996","0","6875.60009","14820.0996","22967","8149.3999","0","1547.80004","3.71","6.7342","6.61","27.96","28.65","407.15","Financial - Investment Management","Finance","NYSE","4.19","10.1","11664.76","38.4","1.7",".67","20180301","7.3","12.95","1.27",".99","10.42","1.44","9","5.05","3.97","2.75","20171231","YES"
"J.B. Hunt Transport Services, Inc.","JBHT",".43096",".1",".92","8.73989",".98","58.82339","798.81298","686.26","595.22998","624.01","1007.52001","7189.57","11.73799","5.75","861.50097","1.79639","1.13",".39","27.91399","17.7","1839.31994","0","1085.64001","921.84002","1338.71997","113.44999","20.68","920.76","10.32","20.138","100","83.52","125.69","109.76","Transportation - Truck","Transportation","NSDQ",".76","23.76","13795.18","125.69",".94","1.07","20180301","16.39","25.9","7.1","1.88","32.23","6","9.67","41.47","8.3","3.9","20171231","YES"
"Johnson Controls International plc","JCI",".20389",".05","1","11.11499","2.09","285.59909","3647","1611","2558","2558","3746","30172","6.30569","8.05","6.28509",".60763","1.12",".5","33.851","23.62","21367","0","11964","11854","12292","26429","3209","6666","4.89","11.32999","29.74","33.26","36.51","926.2","Security and Safety Services","Industrial Products","NYSE","2.85","12.99","33815.72","44.19",".87",".53","20180301","7.51","11.6","1.55","1.18","13.78","30.44","-19.91","8.08","9.14","2.65","20170930","YES"
"Jacobs Engineering Group Inc.","JEC",".46393",".03",".44999","",".2","39.56095","514.70202","293.72","393.20999","405.23999","527.75","10022.79","5.2189","3.83","","1.1878","1.49",".42","29.422","42.49","4487.35009","0","235","1926.21997","2996.17993","3342.73999","0","2102.54003","4.55","8.12569","66.98","49.58","63.96","141.79","Engineering - R and D Services","Construction","NYSE",".94","15.03","9069.01","71.05","1.49","1","20180301","6.89","8.76","1.51","1.04","18.07","-3.89","-8.59","31.35","-.08","3.54","20170930","YES"
"Johnson & Johnson","JNJ",".68222",".02","3.31999","6.1062","2.76","-92.14027","25682","1300","17673","18607","24249","76450","13.00699","26.23","2.87129",".50573","1.58",".47","32.05099","23.58","60160","0","30675","30537","43088","85134","8765","13490","13.26","19.891","4.86","122.61","123.85","2682.9","Large Cap Pharmaceuticals","Medical","NYSE","2.71","15.23","332277.41","148.14",".74","2.06","20180301","21.5","30.65","5.25","1.9","16.45",".99","6.34","11.39","6.8","7.53","20171231","YES"
"Juniper Networks, Inc.","JNPR","1.91721",".06",".4","21.82399","1.12","-48.33812","890.44396","306.20001","811.79998","811.79998","1037.40002","5027.2","5.9854","11.66","",".50911","2.14",".41","29.24699","12.39","4680.8999","0","2136.30004","1738.19995","4184.5","3224.30004","0","852","5.94","7.9456","43.7","24.05","26.72","349.15","Wireless Equipment","Computer and Technology","NYSE","2.69","14.78","9329.35","30.16",".98",".28","20180301","8.31","11.85","2.12","2.58","13.85","2.47",".74","-14.33","20.51","1.93","20171231","YES"
"JPMorgan Chase & Co.","JPM",".51347",".21","2.03999","10.22999","2.56","-1.18061","32623.00976","24441","35900","47318","53497","113899",".97478","24.57","",".04616","1.01","1.19","53.60599","67.06","229625","26068","284080","1967746","1995209","54392","0","984822","1.13","4.1209","84.13","82.15","112.96","3431.96","Banks - Major Regional","Finance","NYSE","1.98","12.48","387674.09","118.77","1.24","2.37","20180301","4.99","12.6","1.68","1.87","14.65","4.14","7.98","31.8","4.74","7.71","20171231","YES"
"Nordstrom, Inc.","JWN",".40468",".03","1.48","5.27209","2.53","23.44632","1082.885","437","790","926","1510","15137","7.52379","3.3","4.5482","1.9111","1.07","","73.291","5.86","977","0","2681","3289","3503","238","2027","145","6.3","14.262","82.63","38.3","50.91","167.8","Retail - Apparel and Shoes","Retail-Wholesale","NYSE","2.91","14.88","8542.49","53.56",".82",".51","20180401","14.39","58.92","8.68","2.48","16.8","5.18","2.58","15.57","-5.37","3.03","20180131","YES"
"Kellogg Company","K",".096",".1","2.11999","4.0113","2.94","82.85302","1896","1269","1674","1930","2411","12923","8.74839","11.12","6.59789",".81397",".74","3.09","75.525","7.36","2228","0","7836","4479","3036","8143","1217","1389","9.05","15.14099","26.9","56.65","61.18","346.85","Food - Miscellaneous","Consumer Staples","NYSE","3.53","13.73","21220.18","73.49",".47","1.19","20180301","15.05","67.81","8.31","1.87","14.67","-3.72","-.7","10.32","1.55","4.17","20171231","YES"
"KeyCorp","KEY",".0551",".19",".37999","15.241","2.09","63.84323","1885","1296","1928","2263","2670","6868",".98938","22.28",".21235",".051",".89",".99","47.914","13.11","14000","1025","14333","108049","96157","2954","1107","89096","1.14","4.82829","73.42","16.47","20.64","1061.66","Banks - Major Regional","Finance","NYSE","2.03","12.15","21912.73","22.15","1.05",".38","20180301","5.32","11.03","1.57","1.28","14.74","10.68","27.42","32.7","8.74","1.4","20171231","YES"
"The Kraft Heinz Company","KHC",".25611",".42","2.45","4.94999","3.21","202.8359","5075.7998","10999","5530","6764","7472","26232","5.1416","16.88","5.39239",".21787",".72",".43","30.065","54.51","66241","0","28333","10132","7266","104273","2815","1856","3.68","7.5651","9.75","54.2","58.06","1219.17","Food - Miscellaneous","Consumer Staples","NSDQ","4.31","15.28","70785.14","93.77",".61",".89","20180301","4.84","7.06","1.07","1.83","16.13","11.54","-.96","7.04","5.25","3.6","20171231","YES"
"Kimco Realty Corporation","KIM",".08956",".35","1.09","6.2245","4.34","12.46403","786.885","426.07","146.32","338.26998","699.08001","1200.83","4.056","40.74","",".10442",".09",".09","8.56599","12.95","5522.10009",".03999","882.78002","4781.83984","450.1","0","0","21.82999","4.25","6.76219","9.77","13.24","14","424.9","REIT and Equity Trust - Retail","Finance","NYSE","8","9.68","5948.56","21.02",".49",".37","20180301","7.86","9.03","1.08","2.88","9.27","5.53","2.57","-6.72","3.49","1.51","20171231","YES"
"KLA-Tencor Corporation","KLAC","2.38792",".27","2.14","6.7469","2.81","31.4656","992.72497","926.07","1173.23999","1295.70996","1353.54003","3480.01","13.77299","29.95","1.80429",".70278","3.78","1.8","64.245","8.79","1326.41003","0","2680.46997","1293.16003","4392.06005","368.48001","732.97998","571.10998","21.05","18.274","73.29","88.14","113.24","155.87","Semiconductor Equipment - Wafer Fabrication","Computer and Technology","NSDQ","2.65","14.27","17650.96","122.39","1.5","2.02","20180301","30.11","86.87","12.88",".88","15.24","6.66","16.6","33.59","20.9","7.43","20170630","YES"
"Kimberly-Clark Corporation","KMB",".1888",".12","3.88","4.6261","3.09","5.17082","2941","2278","2991","3309","4033","18259","13.376","12.19","6.9572","1.2221",".8","10.96","91.637","1.59","882","0","6472","5858","5211","1576","1790","2315","14.9","27.85899","18.14","98.52","104.87","349.33","Consumer Products - Staples","Consumer Staples","NYSE","3.81","15.12","36634.14","133.52",".66","1.71","20180301","31.51","398.41","66.01","2.12","16.46","-4.13",".31","11.34","1.84","6.37","20171231","YES"
"Kinder Morgan, Inc.","KMI",".10969",".01",".5","-29.837","4.02","-74.15255","3794","183","2161","3993","6315","13705","1.85549","11.94","15.845",".17197",".48","1.01","50.65399","15.93","35124","0","35015","6181","2715","25261","424","1613","2.05","2.12529","25.34","14.81","16.3","2206.07","Oil and Gas - Production and Pipelines","Oils-Energy","NYSE","4.91","18.84","35958.89","20.69",".62",".22","20180301","2.3","4.57","1.02","1.79","22.64","-1.58","4.95","31.06","-14.06",".72","20171231","YES"
"CarMax, Inc.","KMX",".45775",".04","0","","0","5.92373","863.95202","664.10998","1063.59997","1134.33996","1314.28002","17120.21","4.4197","4","6.4232","1.00499","2.61","3.84","79.36","18.34","3316.84008","0","12752.80078","1174.05004","3061.43994","0","2390.68994","133.32","4.02","4.83309","44.07","58.77","66.72","178.68","Automotive - Retail and Wholesale - Parts","Retail-Wholesale","NYSE","0","15.37","11921.27","76.81","1.53",".77","20180201","4.38","21.09","3.64","1.06","18.08","8.21","7.84","17.33","14.06","3.69","20180228","YES"
"Coca-Cola Company (The)","KO","1.11138",".04","1.48","7.0088","3.11","-80.87943","9535","1248","6742","7583","8843","35410","9.6583","24.73","4.54269",".37391","1.21","1.38","57.951","5.07","18977","0","31182","27194","36545","16636","2655","3667","9.25","16.892","10.74","41.55","42.3","4265.91","Beverages - Soft drinks","Consumer Staples","NYSE","3.69","20.18","180447.81","48.53",".72",".47","20180301","15.97","39.54","8.35","2.46","21.69","-5.94","-15.41","9.76","-2.29","1.95","20171231","YES"
"Michael Kors Holdings Limited","KORS","","","0","","0","-34.15564","942","552.5","688.59997","692.70001","922.59997","4493.7","32.03499","15.67","2.8903","1.5915","2","","32.297","13.68","1595","0","0","565.79998","1164.69995","537.79998","549.29998","265.79998","24.94","41.87799","93.47","33.05","66.71","152.17","Textile - Apparel","Consumer Discretionary","NYSE","0","13.96","10151.09","69.06",".15","1.77","20171201","35.83","40.86","4.88","1.99","14.41","14.84","-4.63","6.37","15.41","4.63","20180331","YES"
"The Kroger Co.","KR",".20757",".02",".49","13.23499","1.52","-3.44304","4404","1907","1484","2085","4631","122662","5.84359","1.51","14.621","3.34629",".78","","63.53099","7.83","6905","0","12029","14197","11117","4025","6533","1637","5.07","11.946","47.02","19.94","25.3","803.99","Retail - Supermarkets","Retail-Wholesale","NYSE","1.98","12.14","20340.95","31.34","1.03",".63","20180101","9.88","29.27","3.23","2.07","12.4","4.65","6.35","2.18","9.78","2.04","20180131","YES"
"Kohl's Corporation","KSS",".67483",".04","2.2","11.729","3.66","54.4964","1694","859","1117","1416","2407","19095","5.6331","3.68","3.0406","1.42709","2.01","","44.712","32.3","5426","0","4388","2651","5331","0","3542","0","5.25","7.7795","84.75","35.32","63.72","168.01","Retail - Regional Department Stores","Retail-Wholesale","NYSE","3.83","12.13","10705.27","68.83","1.27","1.87","20180101","7.37","13.73","1.97","1.82","15.17","-.54","2.19","25.37","-1.88","4.2","20180131","YES"
"Kansas City Southern","KSU",".29998",".37","1.37999","10.38799","1.23","101.21313","872.09997","962","874.29998","974.5","1295.40002","2582.9","6.1893","21.42","5.56129",".28628",".69",".45","31.141","48.01","4859.2998","6.09999","2235.5","971.70001","680.09997","0","150.8","237.8","6.13","8.1877","79.49","90","108.84","102.6","Transportation - Rail","Transportation","NYSE","1.32","17.66","11167.04","113.7",".79","1.3","20180301","8.09","11.98","2.27","1.36","20.31",".9","10.65","17.38","5.5","5.36","20171231","YES"
"Loews Corporation","L",".13629",".08",".25","0",".58","77.98165","1798","1164","1582","2228","3062","13735","1.22269","7.03","",".17575",".34",".47","32.06299","74.68","24566","0","11253","37552","12731","659","0","7613","1.24","2.80399","75.9","45.12","51.45","319.32","Insurance - Multi line","Finance","NYSE",".49","14.7","16429.13","53.46",".69",".89","20180301","2.78","4.07",".69","","17.5","-2.79","4.81","22.38",".05","2.94","20171231","YES"
"L Brands, Inc.","LB",".85819",".08","3","20.693","3.06","-15.11227","1443.52502","983","1312","1718","2242","12632.43","14.19999","7.28","5.8797","1.5985","1.62","","","-2.66","-751","0","5707","2031","3293","1759","1240","310","11.64","23.15299","7.58","31.68","34.05","282.27","Retail - Apparel and Shoes","Retail-Wholesale","NYSE","7.05","11.39","9611.13","62.95",".77","2.11","20180101","19.16","-101.69","",".99","10.57","4.09",".46","-6.58","3.09","3.22","20180131","YES"
"Leggett & Platt, Incorporated","LEG",".61493",".07","1.41999","4.8428","3.12","-24.1576","461.70001","292.6","432","475.5","601.40002","3943.8","9.26459","8.17","5.43809","1.1589","1.85","1.04","50.87699","9.11","1190.80004","0","1097.90002","976.20001","1766.5","991.29998","571.09997","595.09997","9.46","13.729","11.18","40.38","41.88","131.27","Furniture","Consumer Discretionary","NYSE","3.44","15.66","5497.57","53.8",".89",".57","20180301","14.16","27.92","4.63","1.43","17.38",".82","5.17","8.74","13.46","2.41","20171231","YES"
"Lennar Corporation","LEN","1.58803",".06",".15999","0",".36","-11.11599","987.95397","810.47998","1189.60998","1189.60998","1267.23999","12646.37","5.19469","7.95",".93428",".66131","16.4",".79","44.075","40.45","7986.12988","0","6410","1610.75","13556.48046","136.55999","10860.88964","137.66","5.26","6.5945","6.51","49.87","51.3","325.68","Building Products - Home Builders","Construction","NYSE",".31","11.45","16707.54","71.82","1.25","1.11","20180201","6.57","11.65","1.27",".63","11.74","21.96","15.49","17.59","21.51","4.37","20171130","YES"
"Laboratory Corporation of America Holdings","LH",".36073",".12","0","","0","73.22769","1530.52099","1268.19995","1134.90002","1370","1903.5","10441.4","7.20889","9.72","33.35499",".66729","1.38",".91","47.73799","68.54","6830","0","6344.60009","2046.09997","2682.60009","11870.7998","227.6","1716.90002","6.49","9.35809","95.54","137.51","176.3","101.9","Medical - Dental Supplies","Medical","NYSE","0","15.26","17964.97","178.11",".93","2.78","20180301","8.2","16.33","2.57","1.54","17.35","17.39","8.29","20.37","9.35","10.16","20171231","YES"
"LKQ Corporation","LKQ",".31318",".05","0","","0","15.0376","812.89801","533.73999","766.61999","868.26","1098.45996","9736.91","7.2487","5.93","2.7269","1.11459","2.74",".72","41.777","14.27","4206.6499","0","3277.62011","1322.71997","3822.12988","4280.27978","2380.78002","1027.09997","6.61","8.9642","3","30.13","30.53","309.71","Automotive - Replacement Parts","Auto-Tires-Trucks","NSDQ","0","13.67","9455.46","43.47",".99",".55","20180301","8.3","14.52","2.14",".91","15.74","17.6","13.43","18.82","16.2","1.94","20171231","YES"
"L3 Technologies Inc.","LLL",".58974",".07","3","7.95749","2.02","-4.64789","964","677","871","1040","1330","9573","5.16149","6.85","16.05599",".81762","1.92",".63","38.504","67.79","5151","0","3330","2379","4448","6907","389","2656","5.6","7.73509","58.59","160.69","193.95","78.48","Electronics - Military","Aerospace","NYSE","1.65","20.13","15221.07","217.46","1.22","2.34","20180301","8.34","13.74","2.86","2.34","21.89","-4.78","-8.92","13.78","1.6","8.86","20171231","YES"
"Eli Lilly and Company","LLY",".65228","-.01","2.07999","2.05019","2.9","-107.45544","6097.70019","-204.10001","2197.3999","2197.3999","3764.69995","22871.3","10.586","20.98","1.41089",".53881","1.41",".64","39.16999","13.44","11667.90039","0","9940.5","14535.90039","19202.0996","8399.2998","4458.2998","5262.20019","11.3","17.27199","54.46","74.21","81.66","1085.43","Large Cap Pharmaceuticals","Medical","NYSE","2.76","16.04","88636.25","87.89",".26","1.34","20180301","20.72","35.37","6.08","1.43","17.6",".27","7.77","18.93","2.85","4.64","20171231","YES"
"Lockheed Martin Corporation","LMT",".34588",".04","7.46","11.60299","3.02","-62.24067","5038.52978","2002","5269","5920","7115","51048","8.5752","8.27","10.48299","1.0822","1.27","-121.38","86.772","-.39","-609","0","13513","12637","17461","14604","4487","8603","8.95","31.149","56.68","267.32","320.42","285.53","Aerospace - Defense","Aerospace","NYSE","2.5","19.97","91489.36","361",".73","4.02","20180301","29.27","608.95","","2.72","21.67","2.88","8.04","20.39","8.03","14.79","20171231","YES"
"Lincoln National Corporation","LNC",".03853",".14","1.15999","23.676","1.57","74.41275","1731","2079","1130","1383","1360","14589",".60444","12.12","",".05217",".11",".35","26.10799","73.09","17322","0","4894","108020","11137","1368","0","6974",".63","7.48869","24.19","63.63","69.02","218.71","Insurance - Life Insurance","Finance","NYSE","1.91","8.2","15095.15","85.91","1.94","1.97","20180301","8.16","10.69",".94","1.02","8.81","3.58","9.44","8.07","10.06","7.83","20171231","YES"
"Alliant Energy Corporation","LNT",".09302",".14","1.25999","7.4766","3.39","22.47838","926.79998","467.5","532.79998","748.40002","1231.90002","3382.2","3.37789","13.76","10.34399",".24478",".35",".96","47.79299","18.29","4182.20019","200","4010.60009","2149","905.09997","0","222.39999","482.79998","3.37","5.6338","43.53","37.14","40.64","231.36","Utility - Electric Power","Utilities","NYSE","3.3","19.17","9402.32","45.18",".29",".52","20180301","5.56","11.41","2.22","3.44","20.22",".49","1.87","9.84","3.53","2.01","20171231","YES"
"Lowe's Companies, Inc.","LOW",".114",".05","1.58","22.867","1.64","12.09756","5239","3447","5489","6122","7662","68619","8.673","5.39","3.81139","1.87539","1.06","","72.60299","7.08","5873","0","15564","12096","12772","1307","11393","0","10.1","14.18099","37.06","72.56","85.47","830","Building Products - Retail","Retail-Wholesale","NYSE","1.92","15.67","70940.1","107.4","1.33",".74","20180101","17.32","65.17","12.08",".9","19.47","6.76","5.54","24.27","21.43","4.39","20180131","YES"
"Lam Research Corporation","LRCX","2.11388",".21","1.64999","35.62099",".95","85.74242","2132.71289","1697.76","1811.67004","1811.67004","2143.85009","8013.62","11.53499","27.51","3.84699",".80598","2.64",".26","20.561","41.96","6987.31005","0","1784.96997","2950.1101","9142.49023","1796.66003","1232.91003","1673.39001","22.18","15.77","71.67","139.29","203.33","164.04","Semiconductor Equipment - Wafer Fabrication","Computer and Technology","NSDQ",".98","11.59","33355.31","228.65","1.41","4.79","20180301","32.65","41.13","4.85",".65","12.95","22.03","36.15","75.79","40.51","15.7","20170630","YES"
"Leucadia National Corporation","LUK",".64347",".02",".32499","-6.3398","1.05","32.0923","786.25598","171.72","1088.70996","1196.56005","1360.58996","11436.39",".83372","4.45","",".23409",".68","1.06","52.59","29.86","10138.98046","0","10729.69042","9096.71972","5853.49023","2463.17993","0","0","1.04","1.80729","26.76","21.77","23.44","344.54","Diversified Operations","Conglomerates","NYSE","1.71","27.91","8076.04","28.01","1.27",".34","20180301","2.28","4.8",".81","1.55","18.75",".66","13.65","-49.09","-2.64","1.25","20171231","YES"
"Southwest Airlines Co.","LUV",".54062",".16",".47499","30.798",".79","55.43672","3325","3488","3251","3316","4534","21171","8.10109","10.23","33.71799",".85978",".67",".5","33.243","16.59","10430","0","4710","6905","4815","970","420","662","8.8","16.19799","11.3","50.71","52.47","579.8","Transportation - Airline","Transportation","NYSE",".95","11.55","30422.28","66.29","1.16",".75","20180301","15.8","23.25","3.16",".87","14.41","4.74","3.65","29.84","39.08","3.64","20171231","YES"
"LyondellBasell Industries N.V.","LYB",".83357",".14","3.54999","13.031","3.42","27.18978","5270","4879","5493","5984","7173","34484","17.12899","12.29","6.9828","1.39839","2.62",".88","46.72","24.81","8950","0","8549","4777","11738","1138","4217","3539","17.18","26.76099","87.55","78.91","116.19","392.07","Chemical - Diversified ","Basic Materials","NYSE","3.44","10.55","45554.53","121.49","1.1","3.11","20180301","26.28","53.55","4.68","1.17","10.5","-8.94","18.16","7.67","11.38","11.07","20171231","YES"
