Company Name,Ticker,Cash Ratio,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Annual Sales,ROA (5 Yr Avg),Operating Margin 12 Mo,Inventory Turnover,Asset Utilization,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Current ROA (TTM),ROI (5 Yr Avg),Price as a % of 52 Wk H-L Range,52 Week Low,Last Close,Shares Outstanding ,Industry,Sector,Exchange,Div. Yield %,P/E (F1),Market Cap ,52 Week High,Beta,Last Qtr EPS,Last Reported Qtr ,Current ROI (TTM),Current ROE (TTM),Price/Book,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),5 Yr. Hist. EPS Growth,12 Mo Trailing EPS,Last Reported Fiscal Yr ,S&P 500 - ETF
"Autodesk, Inc.","ADSK",".67808","-.28","0","","0","2.61122","-242.9","-566.90003","-557.29999","-509.10001","-400.70002","2056.6",".11958","-16.95","",".48245",".88","","93.661","-1.16","-256","0","1586","2123.19995","1877.90002","1647.30004","0","438.20001","-8.18","-1.53191","93.74","93.97","136.52","219.11","Computer - Software","Computer and Technology","NSDQ","0","151.13","29912.75","139.36","1.72","-.09","20180101","-21.38","-206.64","","5.81","","-3.34","1.26","288.19","-53.26","-.48","20180131","YES"
"Ameren Corporation","AEE",".19557",".08","1.7775","3.04859","3.73","-19.90812","1665","523","1105","1496","2470","6177","2.6386","11.84","6.61749",".24289",".47",".92","47.85699","30.26","7326","0","7094","2940","1612","411","522","515","2.88","4.65719","27.2","52.59","55.84","243.65","Utility - Electric Power","Utilities","NYSE","3.28","18.38","13605.63","64.54",".26",".62","20180301","5.18","10.04","1.84","2.81","18.37",".53","1.66","7.36","6.63","3.04","20171231","YES"
"American Electric Power Company, Inc.","AEP",".17033",".12","2.39","5.33979","3.71","213.07904","3934.19995","1912.59997","2816.19995","3711.19995","5837.5","15400","2.87849","11.62","9.66609",".24202",".44","1.02","50.54","37.58","18313.5996","0","19419.5996","8271.2998","4253.10009","52.5","953.20001","1891","2.81","5.06659","12.91","63.38","65.22","492.52","Utility - Electric Power","Utilities","NYSE","3.8","16.81","32122.38","77.63",".16",".96","20180301","4.94","9.93","1.74","2.96","17.82","-.2","-6.1","5.4","2.91","3.66","20171231","YES"
"The AES Corporation","AES",".72544","-.11",".47999","31.85199","3.01","-2.74337","1879.13098","-1161","771","771","1940","10530","2.365","8.47","13.409",".3542","1.12","3.2","76.17099","8.35","4845","0","17801","6028","6398","1425","562","1463","3","3.54299","86.15","10.06","12.05","661.4","Utility - Electric Power","Utilities","NYSE","4.32","9.94","7969.87","12.37","1.14",".28","20180301","4.4","18.7","1.44","1.21","10.04","-6.17","-22.49","12.27","-4.54","1.2","20171231","YES"
"Aetna Inc.","AET",".25161",".03","1.75","19.76","1.06","-16.16029","4066","1904","2992","3434","4191","60535","4.84859","5.64","","1.06289",".73",".47","31.84","50.95","15837","0","8160","25261","16358","11751","0","10002","5.99","11.02999","69.44","139.06","177.03","327.1","Medical - HMOs","Medical","NYSE","1.13","16.01","57906.52","193.74",".64","3.19","20180301","14.38","21.42","3.47","1.49","17.17","7.15","-4.15","12.15","13.63","10.31","20171231","YES"
"Aflac Incorporated","AFL",".03521",".21",".87","6.1384","2.39","73.14779","3848","4604","4018","4258","5390","21667","2.2051","13.11","",".15697",".05",".22","18.113","31.37","24598","0","5289","99147","5087","0","0","1596","2.06","12.04899","96.04","36.81","45.53","774.17","Insurance - Accident and Health","Finance","NYSE","2.28","11.48","35247.82","45.89",".94","1.05","20180301","10.08","12.39","1.45","1.76","7.37","-2.34","-3.95","16.48","2.74","3.62","20171231","YES"
"Allergan plc","AGN",".769","-.26","2.79999","",".28","-127.5522","13339","-4125.5","-10386.4004","-9290.80079","-1762.70105","15940.7","5.89319","36.91","2.4295",".13533","1.1",".36","26.38999","213.37","68907.39843","4929.70019","25843.5","9848.0996","11376.70019","104511.20312","904.5","2899","5","7.4312","14.62","143.8","160.23","339.06","Medical - Generic Drugs","Medical","NYSE","1.8","10.02","54328.16","256.15","1.17","3.74","20180301","5.96","8.53",".75","1.15","9.55","16.58","9.4","-2.15","13.34","16.77","20171231","YES"
"American International Group, Inc.","AIG",".09046","-.12","1.27999","37.41099","1.43","-616.60779","6105","-6084","1466","2634","6508","49520",".86949","3.76","",".09718",".27",".53","34.66699","70.58","65708","0","31640","282105","71148","0","0","45628",".37","3.42339","20.18","51.94","54.79","897.68","Insurance - Multi line","Finance","NYSE","2.34","11.07","49184.07","66.06","1.24","1.04","20180301","1.81","2.65",".78","1.01","28.54","-4.65","-5.44","106.19","-14.48","1.92","20171231","YES"
"Apartment Investment and Management Company","AIV",".64687",".31","1.44","10.64099","3.21","-26.63508","687.62402","315.76998","15.39","210","581.84997","1005.44","3.96959","38.13","",".16301",".62","2.77","72.37599","9.77","1530.75","125","4088.90991","220.35","142.53999","0","0","0","6.22","4.22139","7.81","38","38.66","157.35","REIT and Equity Trust - Residential","Finance","NYSE","3.93","15.66","6083.16","46.45",".41",".6","20180301","6.48","26.79","3.96","2.61","15.65","-.52",".96",".77","4.84","2.47","20171231","YES"
"Assurant, Inc.","AIZ",".05387",".08","2.15","24.551","1.99","-8.10047","231.8","519.59997","444.5","494","505.79998","6415","1.17879","3.41","",".20521",".62",".45","30.811","85.37","4281.5","0","1068.19995","23774.90039","13160.2998","1230.69995","0","11879.40039",".7","5.7986","43.25","85.16","94.29","52.69","Insurance - Multi line","Finance","NYSE","2.38","12.51","4968.14","106.27",".55","2","20180301","3.95","5.17","1.1",".65","23.17","-8.37","-14.83","89.45","-8.04","4.07","20171231","YES"
