Company Name,Ticker,ROA (5 Yr Avg),Annual Sales,Net Income ,Pretax Income ,Cash Flow ,Dividend ,Current Assets ,Current Liabilities ,Long Term Debt ,Book Value,Debt/Total Capital,Debt/Equity Ratio,Cash Ratio,Last Qtr EPS,Exchange,Current ROA (TTM),ROI (5 Yr Avg),Sector,Industry,Shares Outstanding ,Market Cap ,Last Close,52 Week High,52 Week Low,12 Mo Trailing EPS,5 Yr. Hist. EPS Growth,5 Yr Historical Sales Growth,P/E (Trailing 12 Months),Current ROE (TTM),Current ROI (TTM),5 Yr Hist. Div. Growth %,S&P 500 - ETF
"Caterpillar Inc.","CAT","4.05439","45462","754","4082","6999.06591","3.09999","36244","26931","23847","23.14","63.401","1.73",".37254","2.16","NYSE","5.27","7.82159","Industrial Products","Manufacturing - Construction and Mining","597.63","90313.2","151.12","170.89","91.39","6.88","-9.67","-9.45","21.97","28.69","10.7","8.81719","YES"
"D/B/A Chubb Limited New","CB","3.08319","32462","3861","3722","4738","2.81999","30738","101550","11556","110.23","18.82099",".23",".04223","3.17","NYSE","2.3","8.70909","Finance","Insurance - Property and Casualty","464.09","65696.77","141.56","156.15","134.88","8.02","1.68","15.45","17.65","7.52","6.07","7.71899","YES"
"CBRE Group, Inc.","CBG","7.478","14209.61","691.46997","1164.08996","1341.37805","0","5452.52001","4606.64013","1999.59997","12.02","32.893",".49",".27516",".99","NYSE","8.47","13.559","Finance","Real Estate - Operations","339.51","15872.01","46.75","47.07","32.48","2.71","17.77","19.4","17.25","25.03","15.14","","YES"
"CBOE Holdings, Inc.","CBOE","39.665","2229.1","400.6","334.39999","563.79998","1.03999","434.70001","334","1237.90002","27.42","28.62199",".4",".5994",".87","NSDQ","6.93","58.39699","Finance","Securities and Exchanges","112.71","13000.51","115.35","137.16","77.97","3.41","10.98","22.7","33.83","12.74","8.64","12.237","YES"
"CBS Corporation","CBS","7.16989","13692","357","1979","1928",".72","6273","3972","9464","5.16","82.71299","4.78",".16868","1.15","NYSE","7.8","12.44799","Consumer Discretionary","Broadcast Radio and Television","382.72","20441.02","53.41","69.51","51.8","4.34","10.8","-2.14","12.31","67.23","15.05","10.786","YES"
"Crown Castle International Corporation","CCI","1.74749","4355.6","444.54998","470.58999","1696.31994","3.9","1133.78002","1292.07995","16044.37011","30.37","56.527","1.3",".56977","1.25","NYSE","1.77","1.99","Finance","REIT and Equity Trust - Other","406.91","43832.04","107.72","114.03","89.62","4.84","","9.28","22.26","4.95","2.01","45.887","YES"
"Carnival Corporation","CCL","4.9607","17510","2606","2666","4616","1.14999","1596","8800","6993","45.19","22.40699","",".10193",".63","NYSE","6.9","6.2771","Consumer Discretionary","Leisure and Recreation Services","534.17","34822.64","65.19","71.94","55.53","3.82","23.31","2.29","17.07","11.78","8.92","12.46899","YES"
"Cadence Design Systems, Inc.","CDNS","9.7782","1943.03","204.1","315.04","413.311","0","979.97998","642.39001","644.35998","3.5","39.44499",".65","1.17741",".39","NSDQ","12.92","17.26799","Computer and Technology","Computer - Software","282.87","11173.33","39.5","45.8","30.85","1.4","7.16","7.66","28.21","31.28","18.63","","YES"
"Celgene Corporation","CELG","17.072","13003","2940","4314","5998.77685","0","14892","2987","15838","8.79","69.58999","2.29","4.16136","2","NSDQ","18.33","23.392","Medical","Medical - Biomedical and Genetics","752.18","66973.72","89.04","146.52","87.12","7.41","25.01","19.6","12.02","67.5","24.88","","YES"
"Cerner Corporation","CERN","12.06","5142.27","866.96997","967.11999","1323.927","0","2380.21997","789.59002","515.13","14.4","9.7186",".11","1.6739",".58","NSDQ","12.2","15.04699","Medical","Medical Info Systems","332.6","21395.99","64.33","73.57","54.37","2.39","16.6","16.65","26.92","16.82","15.05","","YES"
"CF Industries Holdings, Inc.","CF","7.09639","4130","358","-125","824","1.2","1465","580","4692","28.66","41.24499",".7","1.52241","-.02","NYSE","-.4","8.96409","Basic Materials","Fertilizers","233.29","10395.49","44.56","44.56","25.51","-.26","-44.53","-9.43","","-.92","-.51","27.50399","YES"
"Citizens Financial Group, Inc.","CFG",".79493","6454","1652","1912","1785",".63999","113323","117760","11765","40.7","36.72499",".59",".02737",".71","NYSE",".88","4.2354","Finance","Financial - Savings and Loan","487.33","21861.4","44.86","47.87","32.08","2.63","21.92","5.8","17.06","6.73","4.1","47.506","YES"
"Church & Dwight Company, Inc.","CHD","9.9722","3776.2","743.40002","692.70001","622.94396",".75999","1000.20001","935","2103.3999","8.87","48.67399",".95",".34609",".52","NYSE","9.4","15.418","Consumer Staples","Soap and Cleaning Materials","243.94","12299.58","50.42","53.8","43.32","1.94","9.13","3.75","25.99","24.95","14.43","7.4468","YES"
"Chesapeake Energy Corporation","CHK","1.86399","9496","949","955","1863","0","1525","2356","9921","-2.25","","-4.86",".08616",".3","NYSE","6.48","2.55469","Oils-Energy","Oil and Gas - Exploration and Production - United States","909.24","2836.84","3.12","6.32","2.63",".83","-22.51","-16.62","3.76","-32.26","8.59","0","YES"
"C.H. Robinson Worldwide, Inc.","CHRW","14.675","14869.38","504.89001","728.46002","585.763","1.80999","2510.92993","1987.43994","750","10.2","34.471",".53",".19975",".99","NSDQ","12.2","29.058","Transportation","Transportation - Services","139.75","12546.65","89.78","96.73","64.98","3.48","7.5","2.83","25.8","36.28","24.09","7.3392","YES"
"Charter Communications, Inc.","CHTR","-.34258","41581","9895","1028","11154","0","2555","11090","68186","199.29","58.92499","1.43",".08295",".86","NSDQ",".35","-.40769","Consumer Discretionary","Cable Television","238.51","82666.18","346.6","402.5","313.11","2.14","","47.93","161.96","1.11",".46","","YES"
"Cigna Corporation","CI","3.75789","41616","2237","3606","3234",".03999","12597","34347","5199","55.71","27.64599",".38",".09232","1.94","NYSE","4.33","12.887","Finance","Insurance - Multi line","242.88","46714.65","192.34","226.22","145.82","10.45","9.28","6.85","18.41","18.84","13.95","0","YES"
"Cincinnati Financial Corporation","CINF","2.63269","5732","1045","730","510","2","2873","10406","851","50.24","9.35779",".1",".06313",".93","NSDQ","2.13","6.74069","Finance","Insurance - Property and Casualty","163.99","12445.07","75.89","80.52","68.69","2.74","1.69","6.4","27.7","5.99","5.39","4.6243","YES"
"Colgate-Palmolive Company","CL","19.773","15454","2024","3487","3020","1.59","4639","3408","6566",".28","96.43099","27.02",".56866",".75","NYSE","20.17","38.48199","Consumer Staples","Soap and Cleaning Materials","875.33","61334.14","70.07","77.5","68.86","2.87",".28","-3.55","24.42","1716.69","38.2","4.63019","YES"
"Clorox Company (The)","CLX","14.42599","5973","701","1033","866","3.2","1514","1809","1391","5.89","70.17299","2.35",".27086","1.23","NYSE","15.69","31.54599","Consumer Staples","Soap and Cleaning Materials","129.4","17201.67","132.93","149.69","125.32","5.53","5.82","1.58","24.04","126.7","33.65","4.9783","YES"
"Comerica Incorporated","CMA",".84213","3289","743","1234","969","1.09","58897","58982","4622","46.03","36.726",".58",".10072","1.24","NYSE","1.17","5.0928","Finance","Banks - Major Regional","172.81","17082.59","98.85","99.67","64.46","4.74","7.19","4.81","20.85","10.94","6.54","11.156","YES"
"Comcast Corporation","CMCSA","4.71729","84526","22714","15322","19675",".47249","16060","21561","59422","14.95","46.671",".86",".34849",".49","NSDQ","5.34","7.57579","Consumer Discretionary","Cable Television","4644.51","170824.95","36.78","42.99","35.15","2.06","14.3","6.94","17.85","16.47","8.22","12.22099","YES"
"CME Group Inc.","CME","2.0511","3644.7","4063.3999","2526.30004","1832.09997","2.64","46906.5","45672.89843","2233.10009","66.09","9.0611",".1","1.01913","1.12","NSDQ","2.11","5.45419","Finance","Securities and Exchanges","339.11","57137.49","168.49","168.49","115.12","4.76","12.47","6.2","35.4","7.68","6.94","10.21","YES"
"Chipotle Mexican Grill, Inc.","CMG","13.607","4476.41","176.25","275.73999","351.79299","0","629.53002","323.89001","0","48.33","0","0","1.72858","1.34","NYSE","9.15","17.85799","Retail-Wholesale","Retail - Restaurants","27.93","8942.16","320.16","496.14","251.33","6.59","-20.86","8.38","48.58","13.44","13.44","","YES"
"Cummins Inc.","CMI","10.36299","20428","999","2365","2359","4.21","8928","5677","1588","49.19","16.284",".19",".37766","3.03","NYSE","10.45","17.07099","Auto-Tires-Trucks","Automotive - Internal Combustion Engines","165.68","26665.07","160.94","192.5","144.34","10.63","5.37","2.11","15.14","22.18","18.52","18.002","YES"
"CMS Energy Corporation","CMS","2.67919","6583","460","886","1491","1.33","2475","2784","9214","15.88","67.29499","2.06",".27262",".51","NYSE","2.75","4.33279","Utilities","Utility - Electric Power","282.42","12225.98","43.29","50.55","41.77","2.17","5.49","-1.38","19.95","13.6","4.46","6.6493","YES"
"Centene Corporation","CNC","4.55849","48382","828","1134","1250","0","8703","9332","4695","39.78","40.679",".68",".56686",".97","NYSE","4.08","8.9827","Medical","Medical - HMOs","175.27","17863.79","101.92","111.59","65.31","5.03","47.41","46.63","20.26","13.68","7.89","","YES"
"CenterPoint Energy, Inc.","CNP","2.4458","9614","1792","1063","1653","1.07","3395","3069","8195","10.88","63.611","1.75",".65102",".33","NYSE","2.69","4.5296","Utilities","Utility - Electric Power","431.05","11702.96","27.15","30.45","25.85","1.38","-.74",".08","19.67","15.51","5.13","5.83059","YES"
"Capital One Financial Corporation","COF","1.3125","29999","1982","5492","6526.0581","1.6","263830","244691","59705","100.37","55.061","1.23",".05865","1.66","NYSE","1.15","4.69379","Finance","Financial - Consumer Loans","486.29","47607.51","97.9","105.71","76.92","7.79","1.36","5.14","12.57","8.36","3.99","20.68799","YES"
"Cabot Oil & Gas Corporation","COG","3.1472","1764.22","100.38999","-228.43","795.98297",".17","764.95001","630.04998","1217.89001","5.46","32.548",".48",".76863",".13","NYSE","4.45","4.5169","Oils-Energy","Oil and Gas - Exploration and Production - United States","460.79","11662.5","25.31","29.44","21.5",".53","-21.58","-4.3","47.76","8.6","5.63","27.22699","YES"
"Rockwell Collins, Inc.","COL","9.5297","6822","705","931","1304.19201","1.32","4760","3069","6676","38.8","50.533","1.02",".28771","1.59","NYSE","6.43","21.309","Aerospace","Aerospace - Defense Equipment","163.94","22461.82","137.01","139.41","96.63","6.37","7.44","7.49","21.51","19.58","9.47","2.87849","YES"
"The Cooper Companies, Inc.","COO","9.32089","2139","372.89999","394","669.42797",".05999","953.20001","396.1","1149.30004","64.88","26.57299","",".46074","2.65","NYSE","10.12","10.621","Medical","Medical - Dental Supplies","49.02","11593.56","236.5","254.9","193.46","9.72","12.35","7.4","24.33","16.02","11.4","0","YES"
"ConocoPhillips","COP","1.815","32584","-855","-2615","7946","1.05999","16512","9397","17128","25.76","35.736",".56","1.18463",".45","NYSE","1.14","3.1149","Oils-Energy","Oil and Gas - Integrated - United States","1174.58","63415.47","53.99","60.67","42.5",".73","-61.8","-19.58","73.96","2.81","1.71","-24.34301","YES"
"Costco Wholesale Corporation","COST","6.7786","129025","2679","4039","3934.35595","1.89999","17317","17495","6573","25.86","36.324","",".34587","1.36","NSDQ","7.21","14.123","Retail-Wholesale","Retail - Discount Stores","439.11","84079.99","191.48","198.91","150.44","6.01","6.6","4.52","31.86","23.39","16.56","12.902","YES"
"Coty Inc.","COTY","4.84999","7650.3","-422.20002","-658","963.59997",".64999","3581.5","3803.60009","6928.2998","12.57","45.22299",".76",".27831",".32","NYSE","1.82","7.8979","Consumer Staples","Cosmetics","749.86","14502.37","19.34","21.53","14.36",".57","2.78","11.68","33.93","4.45","2.45","25.718","YES"
"Campbell Soup Company","CPB","10.567","7890","887","1293","1250","1.39999","1900","2395","2499","6.48","53.55099","1.15",".16409","1","NYSE","11.72","21.808","Consumer Staples","Food - Miscellaneous","300.61","13082.42","43.52","59.54","42.02","3.03","4.84","-1.54","14.36","54.1","22.82",".25648","YES"
"Salesforce.com Inc","CRM","-.39547","10480.01","127.47","202.1","1583.38793","0","9290.37011","10129.51953","698.64001","13","6.92609",".07","",".35","NYSE","1.83","-.83442","Computer and Technology","Computer - Software","722.3","88481.76","122.5","122.5","81.52","1.35","125.56","27.29","90.74","3.86","3.58","","YES"
"Cisco Systems, Inc.","CSCO","9.47929","48005","9609","12287","13164.25","1.1","83703","27583","25725","10.79","33.019",".49","2.78943",".63","NSDQ","8.55","13.067","Computer and Technology","Computer - Networking","4817.52","214475.91","44.52","45.36","30.37","2.45","4.69",".26","18.17","17.77","12.49","15.16399","YES"
"CSRA Inc.","CSRA","15.526","4993","304","495","559",".4","1000","992","2683","3.97","81.46399","4.39",".25403",".56","NYSE","6.5","130.04499","Computer and Technology","Computers - IT Services","163.93","6671.79","40.7","40.7","27.53","1.99","","12.48","20.45","68.98","10.16","","YES"
"CSX Corporation","CSX","5.72499","11408","5471","3142","3412",".77999","1915","1894","11790","16.47","44.472",".8",".30253",".64","NSDQ","5.87","9.19859","Transportation","Transportation - Rail","887.24","50022.37","56.38","59.26","45.62","2.3","3","-1.77","24.51","17.16","8.81","7.22179","YES"
"Cintas Corporation","CTAS","9.2461","5323.38","480.70001","687.40002","689.57598","1.33","1954.46997","1130.84997","2770.62011","23.98","49.81499","",".79227","1.31","NSDQ","8.94","12.373","Industrial Products","Uniform and Related","106.49","18253.25","171.41","171.41","117.87","5.08","17.67","6.05","33.74","23.23","12.27","20.072","YES"
"CenturyLink, Inc.","CTL","2.8722","17656","1389","540","4868","2.16","4194","4857","37283","21.98","61.347","1.59",".33703",".18","NYSE","1.65","4.06839","Computer and Technology","Wireless National","1069.86","19086.34","17.84","27.31","13.62","1.58","-6.83","-1.38","11.29","5.88","2.2","0","YES"
"Cognizant Technology Solutions Corporation","CTSH","15.328","14810","1504","2655","2541.1499",".44999","9111","2839","698","18.15","6.1406",".07","2.07432","1.03","NSDQ","14.64","19.55999","Computer and Technology","Business - Software Services","588","48374.76","82.27","82.97","57.49","3.78","14.73","15.05","21.76","19.94","18.64","","YES"
"Citrix Systems, Inc.","CTXS","10.081","2824.69","-20.71","550.34002","841.15197","0","2621.41992","1687.06994","2127.46997","6.59","68.19","2.14","1.12323","1.66","NSDQ","11.52","16.94099","Computer and Technology","Computer - Software","136.15","12622.54","92.71","94.7","74.52","4.88","19.63","2.53","19","38.56","19.84","","YES"
"CVS Health Corporation","CVS","6.91179","184765","6622","8268","8702","2","31229","30648","22181","37.21","37.04499",".59",".08979","1.92","NYSE","6.48","10.17","Retail-Wholesale","Retail - Pharmacies and Drug Stores","1014.53","69302.68","68.31","83.63","66.8","5.92","11.18","10.31","11.54","17.21","10.19","21.603","YES"
"Chevron Corporation","CVX","4.87739","141722","9195","9221","26370","4.32","28560","27737","33571","78.61","18.356",".22",".27479",".73","NYSE","3.02","7.29519","Oils-Energy","Oil and Gas - Integrated - International","1910.25","216145.14","113.15","133.6","103.04","4.08","-39.6","-15.94","27.73","5.22","4.23","2.36549","YES"
"Concho Resources Inc.","CXO","2.5834","2586","956","881","1457","0","592","1165","2691","59.96","23.186",".3",".03004",".66","NYSE","2.32","3.3171","Oils-Energy","Oil and Gas - Exploration and Production - United States","149.07","22799.94","152.95","161.66","108.05","2.12","-28.96","-3.23","72.15","3.61","2.75","","YES"
"Dominion Energy Inc.","D","3.6396","12586","2999","3090","4491","3.035","4334","9636","30948","30.05","61.505","1.6",".11114",".91","NYSE","3.07","5.7711","Utilities","Utility - Electric Power","651.53","48017.37","73.7","84.91","72.35","3.59","3.79","-2.31","20.53","12.67","4.69","7.5313","YES"
"Delta Air Lines, Inc.","DAL","6.3769","41244","3577","5701","5803","1.01499","7844","18573","6592","19.51","32.15299",".47",".22279",".96","NYSE","6.85","19.52","Transportation","Transportation - Airline","706.91","38024.87","53.79","60.13","44.03","4.94","18.38","1.84","10.89","26.27","16.87","49.51699","YES"
"Deere & Company","DE","4.2055","29737.7","2159.10009","3153.80004","3874.60009","2.4","48114.30078","22692.90039","25891.30078","28.61","74.04799","2.85","1.72077","1.31","NYSE","3.76","7.8294","Industrial Products","Manufacturing - Farm Equipment","323.79","51009.53","157.54","171.49","107.16","7.34","-11.26","-7.77","21.46","27.18","7.1","4.8074","YES"
"Discover Financial Services","DFS","3.03119","11545","2099","3537","2296.47998","1.29999","95014","62869","26326","28.42","70.735","2.55",".21293","1.55","NYSE","2.36","7.63059","Finance","Financial - Consumer Loans","354.76","27341.11","77.07","81.31","57.66","5.97","4.86","5.81","12.91","21.49","6.03","15.203","YES"
"Dollar General Corporation","DG","10.15699","21986.6","1251.13","1965.61999","1645.12695","1.03999","3677.77001","2622.80004","2710.57006","21.02","32.13199","","",".98","NYSE","10.53","13.92399","Retail-Wholesale","Retail - Discount Stores","271.56","25372.18","93.43","105.34","68.35","4.6","10.89","7.96","20.31","22.58","15.25","39.68899","YES"
"Quest Diagnostics","DGX","6.6904","7709","772","1030","1007","1.79999","1306","1057","3748","36.35","43.58399",".76",".27152","1.38","NYSE","7.17","8.2523","Medical","Medical - Outpatient and Home Healthcare","135.64","13955.78","102.89","111.16","90.86","5.65","8.41","1.43","18.21","15.41","8.58","10.541","YES"
"D.R. Horton, Inc.","DHI","6.8077","14091","1038.40002","1602.09997","1098.09997",".4","10841.5","1565.40002","2871.60009","21.42","28.798",".4","1.02491",".77","NYSE","9.21","7.8586","Construction","Building Products - Home Builders","375.92","15871.37","42.22","52.87","32.28","2.95","21.62","24.65","14.31","14.83","10.57","30.426","YES"
"Danaher Corporation","DHR","6.9173","18329.7","2492.10009","2938.80004","4082.333",".56","6850","4792.2998","10327.40039","37.91","28.14399",".39",".31037","1.19","NYSE","6.2","9.3268","Conglomerates","Diversified Operations","697.57","68068.83","97.58","103.8","79.29","4.03","5.78",".03","24.21","11.36","7.99","43.618","YES"
"Walt Disney Company (The)","DIS","9.4602","55137","8980","13788","12165","1.55999","15889","19595","19119","31.25","31.07099",".43",".30022","1.89","NYSE","10.02","13.41699","Consumer Discretionary","Media Conglomerates","1503.68","155495.14","103.41","115.84","96.91","6.04","14.6","5.76","17.12","20.44","14.43","20.57299","YES"
"Discovery Communications, Inc.","DISCA","7.6075","6873","-337","-137","4863","0","9991","1871","14755","12.16","76.691","3.2","4.35756",".47","NSDQ","5.92","9.03419","Consumer Discretionary","Broadcast Radio and Television","379.05","9301.99","24.54","29.4","16.28","1.95","-10.81","6.62","12.59","21.68","6.76","","YES"
"Discovery Communications, Inc.","DISCK","7.6075","6873","-337","-137","4863","0","9991","1871","14755","12.16","76.691","3.2","4.35756",".47","NSDQ","5.92","9.03419","Consumer Discretionary","Broadcast Radio and Television","379.05","8722.03","23.01","28.9","15.27","1.95","8.47","6.62","11.8","21.68","6.76","","YES"
"DISH Network Corporation","DISH","5.18359","14391.38","2098.67993","1650.07995","2115.24902","0","3285.02001","4828","15134.44042","14.87","69.10399","2.18",".47847",".57","NSDQ","4.35","7.94449","Consumer Discretionary","Cable Television","466.48","19335.39","41.45","66.19","40.72","2.59","7.45",".97","16","22.56","6.01","","YES"
"Digital Realty Trust, Inc.","DLR","2.76209","2457.93","248.25","264.16","1213.68103","3.72","289.51998","1179.96997","8648.61035","47.7","44.05899",".88",".01116","1.55","NYSE","1.67","3.0387","Finance","REIT and Equity Trust - Other","205.47","20621","100.36","126.04","97.95","6.1","6.28","12.8","16.45","4.03","1.81","4.0275","YES"
"Dollar Tree, Inc.","DLTR","12.28999","20719.2","896.20001","1329.40002","1596.00402","0","3938","2105.8999","6169.70019","25.8","47.604","","","1.01","NSDQ","6.58","17.19599","Retail-Wholesale","Retail - Discount Stores","237.1","24335.58","102.64","116.35","66.39","4.37","9.21","32.89","23.49","18.04","8.93","","YES"
"Dover Corporation","DOV","7.19939","7830.44","811.65997","973.84002","1030.04602","1.82","3207.12011","2298.18994","2986.69995","28.14","40.526",".68",".41029","1.13","NYSE","6.1","10.27799","Industrial Products","Manufacturing - General Industrial ","154.42","15221.61","98.57","107.05","76.34","4.03","-10.37","-4.59","24.46","15.24","8.93","5.9018","YES"
"Dr Pepper Snapple Group, Inc","DPS","8.58909","6690","1076","1173","992","2.31999","1117","1238","4400","13.58","64.22399","1.8",".14378","1.17","NYSE","8.19","14.80599","Consumer Staples","Beverages - Soft drinks","179.74","20834.14","115.91","120.1","84.47","4.53","9.68","2.38","25.59","37.05","12.44","11.19299","YES"
"Duke Realty Corporation","DRE","2.5327","780.93","1634.43005","290.23001","575.552",".76999","620.13","139.83","2422.88989","12.84","34.62599",".53","3.53443",".3","NYSE","3.8","2.67589","Finance","REIT and Equity Trust - Other","356.99","8917.6","24.98","30.14","24.52","1.24","3.07","-7.28","20.15","6.28","4.01","3.2667","YES"
"Darden Restaurants, Inc.","DRI","7.23549","7170.2","479.1","637.29998","780.20001","2.24","799.79998","1289.19995","936.59997","15.98","32.13199","",".42274",".73","NYSE","10.27","12.72299","Retail-Wholesale","Retail - Restaurants","123.53","11667.77","94.45","99.31","74.16","4.22","12.29","-4.14","22.38","26.24","18.73","2.4479","YES"
"DTE Energy Company","DTE","3.0262","12607","1134","1287","2195","3.3575","3081","2812","12185","55.69","54.949","1.22",".1586","1.48","NYSE","3.21","4.99189","Utilities","Utility - Electric Power","179.38","18399.52","102.57","115.99","98.49","5.15","7.03","3.74","19.92","10.81","4.91","6.8362","YES"
"Duke Energy Corporation","DUK","2.6057","23565","3059","4266","7245","3.49","8453","12482","49035","59.63","54.02","1.17",".1946",".94","NYSE","2.36","3.9161","Utilities","Utility - Electric Power","700.09","54250.18","77.49","91.09","74.32","4.58","1.73","-.65","16.92","7.72","3.59","3.1921","YES"
"DaVita HealthCare Partners Inc.","DVA","4.3811","10876.63","663.60998","1399.78002","1412.375","0","8744.3496","3041.16992","9158.00976","26.66","67.54599","1.87","2.11282",".92","NYSE","3.43","5.51539","Medical","Medical - Outpatient and Home Healthcare","182","13138.58","72.19","80.03","53.89","3.44",".77","8.84","20.99","12.86","4.36","","YES"
"Devon Energy Corporation","DVN","2.8032","13949","898","896","2468",".23999","4791","3315","10291","26.86","42.185",".73",".94147",".38","NYSE","3.02","3.84829","Oils-Energy","Oil and Gas - Exploration and Production - United States","526.1","16835.2","32","44.81","29.54","1.59","-30.67","4.6","20.13","6.92","3.72","-29.83601","YES"
"Dow Chemical Company (The)","DWDP","5.3006","62484","1460","1193","10994.3457","1.75999","49893","26128","30056","43.56","22.773",".29",".61267",".83","NYSE","3.92","8.50329","Basic Materials","Chemical - Diversified ","2329.02","162239.75","69.66","77.02","60.2","3.5","14.48","-2.37","19.9","8.21","5.95","8.19919","YES"
"DXC Technology Company.","DXC","5.6612","7607","-123","-174","1122",".69999","3247","2950","2225","46.28","32.53599",".48",".54372","2.15","NYSE","6.78","10.89599","Computer and Technology","Computers - IT Services","285.69","29140.17","102","104.64","65.03","6.82","2.25","-5.82","14.96","17.97","11.77","-8.2373","YES"
"Electronic Arts Inc.","EA","10.809","4845","967","1210","1101.06994","0","5199","2415","990","13.27","19.53499",".24","2.00414","2.22","NSDQ","13.67","18.736","Consumer Discretionary","Toys - Games - Hobbies","306.73","38678.4","126.1","128.57","87.14","4.08","52.29","7.2","30.91","25.42","20.62","","YES"
"eBay Inc.","EBAY","7.95069","9567","-1016","2276","2441.3999","0","7743","3539","9234","7.72","53.38499","1.15","1.99152",".59","NSDQ","6.84","11.821","Retail-Wholesale","Internet - Commerce","1012.08","43711.73","43.19","46.19","32.05","2.01","-9.96","-14.55","21.49","16.82","9.27","","YES"
"Ecolab Inc.","ECL","6.4942","13838.3","1508.40002","1764.80004","2271.5","1.51999","4596.3999","3431.80004","6758.2998","26.61","46.77999",".88",".16795","1.39","NYSE","7.02","9.84599","Basic Materials","Chemical - Specialty","288.86","37537.15","129.95","140.34","123.68","4.69","7.72","1","27.71","19.1","10.24","11.989","YES"
"Consolidated Edison Inc","ED","2.6914","12033","1525","1997","2605","2.75999","3537","4902","14731","49.75","48.84899",".96",".3827",".8","NYSE","2.6","4.75969","Utilities","Utility - Electric Power","310.4","23618.11","76.09","89.66","74.35","4.12","1.78","-1.27","18.47","8.51","4.28","2.8471","YES"
"Equifax, Inc.","EFX","10.40299","3362.2","587.29998","746.59997","1015.79998","1.55999","998.40002","1673.5","1739","26.97","34.93399",".54",".3308","1.39","NYSE","10.28","13.93","Business Services","Financial Transaction Services","120.12","14577.04","121.35","146.26","92.98","5.96","15.26","10.18","20.36","23.31","14.29","14.673","YES"
"Edison International","EIX","2.91829","12320","689","949","3581","2.2325","3729","7068","11642","42.56","45.68099",".84",".36021","1.1","NYSE","2.96","6.18459","Utilities","Utility - Electric Power","325.81","19766.96","60.67","82.64","58.07","4.48",".44","-2.29","13.54","10.86","5.99","13.6","YES"
"Estee Lauder Companies, Inc. (The)","EL","13.939","11824","1249","1617","1791","1.32","4964","2823","3383","12.47","42.37099",".74",".74034","1.52","NYSE","13.03","22.06599","Consumer Staples","Cosmetics","367.78","52091.79","141.64","143.29","82.71","4.15","8.48","3.83","34.13","34.86","19.85","46.18799","YES"
"Eastman Chemical Company","EMN","7.47569","9549","1384","1289","1699","2.08999","3143","1982","6147","38.13","52.868","1.12",".12512","1.62","NYSE","6.98","10.807","Basic Materials","Chemical - Diversified ","142.97","14742.73","103.12","104.21","77.18","7.62","3.8",".29","13.53","22.02","9.69","13.93099","YES"
"Emerson Electric Company","EMR","9.9285","15264","1518","2335","2343.34008","1.91999","8252","5045","3794","13.13","28.69199",".4",".69058",".58","NYSE","9.05","17.044","Industrial Products","Manufacturing - Electronics","634.84","44533.86","70.15","74.05","57.44","2.67","-7.43","-9.81","26.27","20.73","14.35","3.8475","YES"
"EOG Resources, Inc.","EOG","3.1591","11208.32","2582.57006","661.17999","4057.60498",".67","3279.10009","2725.54003","6030.83007","28.16","27.027",".37",".39786",".69","NYSE","2.21","4.6118","Oils-Energy","Oil and Gas - Exploration and Production - United States","578.64","58910.97","101.81","118.47","83.15","1.11","-41.34","-12.53","91.72","4.47","3.09","16.252","YES"
"Equinix, Inc.","EQIX","2.0768","4368.43","232.97999","286.82998","1299.90197","8","2249.12011","1242.72998","9937.20019","87.56","59.19599","1.45","1.34607","4.82","NSDQ","2.41","2.4251","Finance","REIT and Equity Trust - Retail","79.23","30780.9","388.51","492.98","363.43","18.52","","18.15","20.98","6.54","2.68","45.63","YES"
"Equity Residential","EQR","5.67939","2471.41","603.45001","456","1378.84301","2.015","50.63999","172.8","8957.29003","28.4","47.097",".86",".29305",".83","NYSE","2.92","5.95319","Finance","REIT and Equity Trust - Residential","368.17","20790.54","56.47","70.37","55.26","3.14","2.54","1.08","17.98","5.76","3.04","2.647","YES"
"EQT Corporation","EQT","2.0991","3378.01","1508.52001","742.52001","1364.75097",".11999","1163.05004","1232.22998","7323.5498","69.67","28.454",".4",".3553",".76","NYSE","1.42","2.8113","Oils-Energy","Oil and Gas - Exploration and Production - United States","264.47","13723.5","51.89","67.02","45.73","1.38","-31.54","3.87","37.6","2.35","1.76","0","YES"
"Eversource Energy","ES","2.9339","7751.95","987.98999","1574.40002","1851.776","1.89999","2487.09008","3589.04003","11775.88964","34.99","51.83599","1.06",".37306",".75","NYSE","2.94","4.68209","Utilities","Utility - Electric Power","316.89","18290.65","57.72","65.81","56.11","3.11","5.27","1.15","18.56","9.03","4.66","6.3399","YES"
"Express Scripts Holding Company","ESRX","7.09749","100064.6","4517.3999","4929","5941.5","0","11957.0996","17846.40039","14981.5","32","45.25199",".83",".15554","2.16","NSDQ","8","11.718","Medical","Medical Services","564.35","42190.58","74.76","81.92","56.81","7.12","13.41","-1.19","10.5","25.19","13.55","","YES"
"Essex Property Trust, Inc.","ESS","2.5515","1363.9","433.04998","458.04","880.86901","7","162.05","127.5","5689.12011","96.87","47.243",".89","1.27098","3.01","NYSE","3.46","2.66939","Finance","REIT and Equity Trust - Residential","66.04","14905.96","225.71","269.39","217.81","11.9","12.6","23.32","18.97","6.76","3.58","9.788","YES"
