Company Name,Ticker,ROA (5 Yr Avg),Annual Sales,Net Income ,Pretax Income ,Cash Flow ,Dividend ,Current Assets ,Current Liabilities ,Long Term Debt ,Book Value,Debt/Total Capital,Debt/Equity Ratio,Cash Ratio,Last Qtr EPS,Exchange,Current ROA (TTM),ROI (5 Yr Avg),Sector,Industry,Shares Outstanding ,Market Cap ,Last Close,52 Week High,52 Week Low,12 Mo Trailing EPS,5 Yr. Hist. EPS Growth,5 Yr Historical Sales Growth,P/E (Trailing 12 Months),Current ROE (TTM),Current ROI (TTM),5 Yr Hist. Div. Growth %,S&P 500 - ETF
"Alliance Data Systems Corporation","ADS","4.40969","7719.4","788.70001","1081.09997","1564.17102","2.07999","24705.5996","10146.70019","17980.40039","33.58","90.647","9.69",".60657","6.26","NYSE","3.79","7.8487","Business Services","Financial Transaction Services","55.46","12854.27","231.77","276.37","210.43","19.36","18.07","16.95","11.97","66.17","6.1","","YES"
"Autodesk, Inc.","ADSK",".97705","2031","-582.09998","-523.79999","-193.60001","0","2460.60009","2185.3999","1092",".49","93.661","","","-.12","NSDQ","-8.78",".2721","Computer and Technology","Computer - Software","220.27","26183.12","118.87","130.24","82.07","-.67","-49.69","-2.78","","-93.6","-22.2","","YES"
"Ameren Corporation","AEE","2.62409","6177","523","1105","1665","1.7775","1612","2940","7094","30.19","49.19599",".97",".19557",".39","NYSE","2.72","4.6149","Utilities","Utility - Electric Power","242.63","13374.03","55.12","64.54","52.59","2.84","5.55","-.15","19.41","9.43","4.87","2.78909","YES"
"American Electric Power Company, Inc.","AEP","2.85579","15400","1912.59997","2816.19995","3934.19995","2.39","4253.10009","8271.2998","19419.5996","37.23","51.46599","1.06",".17033",".85","NYSE","2.86","5.0272","Utilities","Utility - Electric Power","492.01","32713.45","66.49","77.63","63.38","3.66","3.55",".39","18.17","10.05","5.05","5.3825","YES"
"The AES Corporation","AES","2.30809","10530","-1161","771","1879.13098",".47999","6398","6028","17801","7.34","78.605","3.67",".72544",".43","NYSE","2.65","3.4683","Utilities","Utility - Electric Power","660.49","7252.21","10.98","11.95","10.06","1.09","-4.28","-5.85","10.07","16.52","3.91","33.28799","YES"
"Aetna Inc.","AET","4.768","60535","1904","2992","4066","1.75","16358","25261","8160","48.46","34.004",".52",".25161","1.25","NYSE","5.87","10.86499","Medical","Medical - HMOs","326.94","58346.16","178.46","193.74","125.73","9.83","13.66","9.35","18.16","21.5","14.2","17.28199","YES"
"Aflac Incorporated","AFL","2.2223","21667","4604","4018","3848","1.74","5087","99147","5289","62.57","17.697",".22",".03521","1.6","NYSE","2","12.329","Finance","Insurance - Accident and Health","389.68","34389.53","88.25","91.69","71.41","6.8","1.86","-2.83","12.98","12.29","9.93","5.2494","YES"
"Allergan plc","AGN","6.04349","15940.7","-4125.5","-10386.4004","13339","2.79999","11376.70019","9848.0996","25843.5","207.19","25.926",".38",".769","4.86","NYSE","4.75","7.69719","Medical","Medical - Generic Drugs","348.34","51808.41","148.73","256.15","144.02","16.38","16.25","20.32","9.08","8.43","5.8","","YES"
"American International Group, Inc.","AIG",".90359","49520","-6084","1466","6105","1.27999","71148","282105","31640","73.09","32.50199",".48",".09046",".57","NYSE",".45","3.5109","Finance","Insurance - Multi line","902.47","52000.26","57.62","66.06","56.47","2.24","-12.45","-3.88","25.72","3.1","2.16","40.48099","YES"
"Apartment Investment and Management Company","AIV","3.65409","1005.44","315.76998","15.39","687.62402","1.44","142.53999","220.35","4088.90991","9.75","71.678","2.67",".64687",".63","NYSE","5.1","3.8926","Finance","REIT and Equity Trust - Residential","157.33","6098.12","38.76","46.45","38","2.45","5.14","-.91","15.82","21.25","5.32","10.47399","YES"
